pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,scf,rmsd_init_saddle,nghost,min_energy,rmsd_min_sad,rmsd_min_init
42,29,448.0,-9443.829021,0.0042,True,Sella,n/a,n/a,-9441.284936,-2.5440849999995407,027,singlets,,2.284288498872276,0,-9450.856014,2.6883495012131706,3.1253523677863364
71,53,618.0,-10371.650817,0.0039,True,Sella,n/a,n/a,-10365.22625,-6.424567000000025,028,doublets,,1.2986601357708727,0,-10372.550582,2.979660362124876,1.6981448397379886
40,25,307.0,-7387.583485,0.0057,True,Sella,n/a,n/a,-7386.169826,-1.413658999999825,028,singlets,,1.0599741180349413,0,-7392.965904,1.5898194318984653,0.5601858668860502
24,17,555.0,-8460.852958,0.0095,True,Sella,n/a,n/a,-8453.112392,-7.74056599999858,029,doublets,,1.1134161409346033,0,-8464.745591,3.010198486139237,1.8263772696388532
48,36,219.0,-9329.133358,0.0073,True,Sella,n/a,n/a,-9325.741401,-3.3919569999998203,029,singlets,,0.4385681972195127,0,-9331.989711,0.2348975489544819,0.41324979873020407
27,18,123.0,-7318.34322,0.01,True,Sella,n/a,n/a,-7316.512855,-1.8303649999998015,030,doublets,,0.3407543907586607,0,-7321.094335,0.6001832902689118,0.7512557029653162
47,33,467.0,-9446.304785,0.0081,True,Sella,n/a,n/a,-9444.175833,-2.128952000000936,030,singlets,,1.335221982741707,0,-9451.109485,0.3108271115864581,1.8769177712205427
55,39,92.0,-6230.221383,0.0091,True,Sella,n/a,n/a,-6226.555747,-3.665635999999722,031,doublets,,0.6450682593507392,0,-6232.070669,0.9827864559724919,0.5833341022084354
23,18,159.0,-10385.506231,0.0066,True,Sella,n/a,n/a,-10383.879692,-1.6265389999989566,031,singlets,,2.4252430715761295,0,-10389.704834,1.5369503900105033,1.3739227330382906
33,27,285.0,-9341.641817,0.0059,True,Sella,n/a,n/a,-9341.054424,-0.5873929999997927,032,doublets,,1.2682968138731736,0,-9345.019252,0.9797240005418412,1.5606720789991155
26,18,117.0,-10295.091841,0.0049,True,Sella,n/a,n/a,-10294.67403,-0.4178109999993467,032,singlets,,0.4530672801428278,0,-10299.332165,1.3262678881002674,2.6042957324318823
83,69,512.0,-6317.825015,0.0064,True,Sella,n/a,n/a,-6316.552449,-1.2725660000005519,033,doublets,,2.547981050212643,0,-6319.842851,2.3911009220316175,0.43366656927942976
28,20,202.0,-8355.92846,0.0084,True,Sella,n/a,n/a,-8354.103289,-1.8251709999985906,033,singlets,,0.4038048367329835,0,-8362.906882,0.5063061343565602,0.4084687002042647
36,19,143.0,-7319.891212,0.0067,True,Sella,n/a,n/a,-7317.873232,-2.0179800000005343,034,doublets,,1.2306172619093112,0,-7320.228671,0.8309939309453882,0.7287545228481783
37,25,25.0,-5159.048536,0.0046,True,Sella,n/a,n/a,-5154.222708,-4.825828000000001,034,singlets,,0.3628911345306303,0,-5161.724737,0.4793729218549877,0.4661123781777776
19,11,125.0,-9342.500286,0.007,True,Sella,n/a,n/a,-9342.11591,-0.38437599999997474,035,doublets,,0.07729611285310248,0,-9344.911406,1.4263552609173296,0.6163528678806646
